CODIGO,ASIGNATURA,GRUPO,HORA1,HORA2,HORA3,HORA4,HORA5
2961116,LMD,A,102,103,404,,
2961116,LMD,A1,503,,,,
2961116,LMD,A2,104,,,,
2961116,LMD,A3,305,,,,
2961116,LMD,B,102,103,304,,
2961116,LMD,B1,403,,,,
2961116,LMD,B2,303,,,,
2961116,LMD,B3,203,,,,
2961116,LMD,C,104,203,305,,
2961116,LMD,C1,504,,,,
2961116,LMD,C2,404,,,,
2961116,LMD,D,210,211,508,,
2961116,LMD,D1,411,,,,
2961116,LMD,D2,311,,,,
2961116,LMD,D3,110,,,,
2961116,LMD,E,310,410,411,,
2961116,LMD,E1,208,,,,
2961116,LMD,E2,109,,,,
2961116,LMD,E3,509,,,,
2961116,LMD,F,108,209,511,,
2961116,LMD,F1,409,,,,
2961116,LMD,F2,508,,,,
2961117,TOC,A,504,505,,,
2961117,TOC,A1,304,305,,,
2961117,TOC,A2,502,503,,,
2961117,TOC,A3,104,105,,,
2961117,TOC,B,404,405,,,
2961117,TOC,B1,202,203,,,
2961117,TOC,B2,402,403,,,
2961117,TOC,B3,302,303,,,
2961117,TOC,C,402,403,,,
2961117,TOC,C1,404,405,,,
2961117,TOC,C2,204,205,,,
2961117,TOC,D,408,409,,,
2961117,TOC,D1,110,111,,,
2961117,TOC,D2,410,411,,,
2961117,TOC,D3,310,311,,,
2961117,TOC,E,408,409,,,
2961117,TOC,E1,108,109,,,
2961117,TOC,E2,508,509,,,
2961117,TOC,E3,208,209,,,
2961117,TOC,F,310,311,,,
2961117,TOC,F1,308,309,,,
2961117,TOC,F2,408,409,,,
2961118,MP,A,302,405,,,
2961118,MP,A1,104,105,,,
2961118,MP,A2,304,305,,,
2961118,MP,A3,502,503,,,
2961118,MP,B,205,305,,,
2961118,MP,B1,302,303,,,
2961118,MP,B2,202,203,,,
2961118,MP,B3,402,403,,,
2961118,MP,C,105,302,,,
2961118,MP,C1,204,205,,,
2961118,MP,C2,504,505,,,
2961118,MP,D,510,511,,,
2961118,MP,D1,310,311,,,
2961118,MP,D2,110,111,,,
2961118,MP,D3,410,411,,,
2961118,MP,E,210,311,,,
2961118,MP,E1,508,509,,,
2961118,MP,E2,208,209,,,
2961118,MP,E3,108,109,,,
2961118,MP,F,109,208,,,
2961118,MP,F1,508,509,,,
2961118,MP,F2,308,309,,,
2961119,IES,A,204,205,,,
2961119,IES,A1,402,403,,,
2961119,IES,A2,402,403,,,
2961119,IES,A3,402,403,,,
2961119,IES,B,104,105,,,
2961119,IES,B1,504,505,,,
2961119,IES,B2,504,505,,,
2961119,IES,B3,504,505,,,
2961119,IES,C,102,103,,,
2961119,IES,C1,502,503,,,
2961119,IES,C2,502,503,,,
2961119,IES,D,108,109,,,
2961119,IES,D1,308,309,,,
2961119,IES,D2,308,309,,,
2961119,IES,D3,308,309,,,
2961119,IES,E,110,111,,,
2961119,IES,E1,510,511,,,
2961119,IES,E2,510,511,,,
2961119,IES,E3,510,511,,,
2961119,IES,F,210,211,,,
2961119,IES,F1,410,411,,,
2961119,IES,F2,410,411,,,
296111A,ES,A,202,203,303,,
296111A,ES,A1,502,,,,
296111A,ES,A2,105,,,,
296111A,ES,A3,304,,,,
296111A,ES,B,204,502,503,,
296111A,ES,B1,402,,,,
296111A,ES,B2,302,,,,
296111A,ES,B3,202,,,,
296111A,ES,C,202,303,304,,
296111A,ES,C1,505,,,,
296111A,ES,C2,405,,,,
296111A,ES,D,208,209,509,,
296111A,ES,D1,410,,,,
296111A,ES,D2,310,,,,
296111A,ES,D3,111,,,,
296111A,ES,E,211,308,309,,
296111A,ES,E1,209,,,,
296111A,ES,E2,108,,,,
296111A,ES,E3,508,,,,
296111A,ES,F,110,111,510,,
296111A,ES,F1,408,,,,
296111A,ES,F2,509,,,,
2961126,ALG,A,202,203,302,,
2961126,ALG,A1,304,,,,
2961126,ALG,A2,204,,,,
2961126,ALG,A3,305,,,,
2961126,ALG,B,304,305,404,,
2961126,ALG,B1,302,,,,
2961126,ALG,B2,203,,,,
2961126,ALG,B3,303,,,,
2961126,ALG,C,303,502,503,,
2961126,ALG,C1,305,,,,
2961126,ALG,C2,204,,,,
2961126,ALG,D,308,508,509,,
2961126,ALG,D1,411,,,,
2961126,ALG,D2,410,,,,
2961126,ALG,D3,210,,,,
2961127,FIS,A,102,103,,,
2961127,FIS,A1,504,505,,,
2961127,FIS,A2,304,305,,,
2961127,FIS,B,104,105,,,
2961127,FIS,B1,102,103,,,
2961127,FIS,B2,302,303,,,
2961127,FIS,B3,402,403,,,
2961127,FIS,C,402,403,,,
2961127,FIS,C1,204,205,,,
2961127,FIS,C2,504,505,,,
2961127,FIS,D,108,109,,,
2961127,FIS,D1,110,111,,,
2961127,FIS,D2,310,311,,,
2961128,FBD,A,303,,,,
2961128,FBD,A1,305,404,405,,
2961128,FBD,A2,104,105,205,,
2961128,FBD,A3,304,504,505,,
2961128,FBD,B,405,,,,
2961128,FBD,B1,303,402,403,,
2961128,FBD,B2,102,103,202,,
2961128,FBD,B3,302,502,503,,
2961128,FBD,C,302,,,,
2961128,FBD,C1,304,504,505,,
2961128,FBD,C2,104,105,205,,
2961128,FBD,D,309,,,,
2961128,FBD,D1,310,311,410,,
2961128,FBD,D2,411,510,511,,
2961128,FBD,D3,110,111,211,,
2961129,IA,A,402,403,,,
2961129,IA,A1,204,205,,,
2961129,IA,A2,404,405,,,
2961129,IA,A3,104,105,,,
2961129,IA,B,504,505,,,
2961129,IA,B1,202,203,,,
2961129,IA,B2,502,503,,,
2961129,IA,B3,102,103,,,
2961129,IA,C,102,103,,,
2961129,IA,C1,404,405,,,
2961129,IA,C2,304,305,,,
2961129,IA,D,408,409,,,
2961129,IA,D1,210,211,,,
2961129,IA,D2,110,111,,,
2961129,IA,D3,510,511,,,
296112A,AC,A,502,503,,,
296112A,AC,A1,104,105,,,
296112A,AC,A2,504,505,,,
296112A,AC,A3,204,205,,,
296112A,AC,B,204,205,,,
296112A,AC,B1,502,503,,,
296112A,AC,B2,402,403,,,
296112A,AC,B3,202,203,,,
296112A,AC,C,202,203,,,
296112A,AC,C1,104,105,,,
296112A,AC,C2,404,405,,,
296112A,AC,C3,204,205,,,
296112A,AC,D,208,209,,,
296112A,AC,D1,510,511,,,
296112A,AC,D2,210,211,,,
296112A,AC,D3,310,311,,,
296113A,IC,A,510,511,,,
296113A,IC,A1,508,509,,,
296113A,IC,A2,108,109,,,
296113A,IC,A3,308,309,,,
296113B,TSI,A,210,211,,,
296113B,TSI,A1,108,109,,,
296113B,TSI,A2,508,509,,,
296113B,TSI,A3,208,209,,,
296113C,AA,A,110,111,,,
296113C,AA,A1,408,409,,,
296113C,AA,A2,208,209,,,
296113C,AA,A3,508,509,,,
296113C,AA,A4,108,109,,,
296113D,MAC,A,310,311,,,
296113D,MAC,A1,208,209,,,
296113D,MAC,A2,308,309,,,
296113D,MAC,A3,408,409,,,
296113E,MH,A,410,411,,,
296113E,MH,A1,308,309,,,
296113E,MH,A2,408,409,,,
296113E,MH,A3,108,109,,,
296113F,DS,A,408,409,,,
296113F,DS,A1,210,211,,,
296113F,DS,A2,410,411,,,
296113F,DS,A3,110,111,,,
296114E,DIU,A,208,209,,,
296114E,DIU,A1,310,311,,,
296114E,DIU,A2,510,511,,,
296114E,DIU,A3,210,211,,,
296113H,SG,A,108,109,,,
296113H,SG,A1,110,111,,,
296113H,SG,A2,210,211,,,
296113H,SG,A3,310,311,,,
296113I,DSD,A,308,309,,,
296113I,DSD,A1,510,511,,,
296113I,DSD,A2,110,111,,,
296113I,DSD,A3,410,411,,,
296113J,SIBW,A,508,509,,,
296113J,SIBW,A1,410,411,,,
296113J,SIBW,A2,310,311,,,
296113J,SIBW,A3,510,511,,,
296113K,AS,A,510,511,,,
296113K,AS,A1,508,509,,,
296113L,ACAP,A,110,111,,,
296113L,ACAP,A1,108,109,,,
296113M,DSE,A,308,309,,,
296113M,DSE,A1,310,311,,,
296113N,DHD,A,408,409,,,
296113N,DHD,A1,410,411,,,
296113P,SMP,A,208,209,,,
296113P,SMP,A1,210,211,,,
296113Q,PW,A,408,409,,,
296113Q,PW,A1,510,511,,,
296113Q,PW,A2,110,111,,,
296113Q,PW,A3,210,211,,,
296113R,SIE,A,208,209,,,
296113R,SIE,A1,110,111,,,
296113R,SIE,A2,410,411,,,
296113R,SIE,A3,310,311,,,
296113S,ISI,A,108,109,,,
296113S,ISI,A1,310,311,,,
296113S,ISI,A2,210,211,,,
296113S,ISI,A3,110,111,,,
296113T,ABD,A,308,309,,,
296113T,ABD,A1,210,211,,,
296113T,ABD,A2,510,511,,,
296113T,ABD,A3,410,411,,,
296113U,SMD,A,508,509,,,
296113U,SMD,A1,410,411,,,
296113U,SMD,A2,310,311,,,
296113U,SMD,A3,510,511,,,
296113V,SMM,A,410,411,,,
296113V,SMM,A1,108,109,,,
296113V,SMM,A2,408,409,,,
296113V,SMM,A3,308,309,,,
296113W,CUIA,A,510,511,,,
296113W,CUIA,A1,408,409,,,
296113W,CUIA,A2,208,209,,,
296113W,CUIA,A3,508,509,,,
296113X,TW,A,110,111,,,
296113X,TW,A1,208,209,,,
296113X,TW,A2,308,309,,,
296113X,TW,A3,108,109,,,
296113Y,SWAP,A,310,311,,,
296113Y,SWAP,A1,308,309,,,
296113Y,SWAP,A2,508,509,,,
296113Y,SWAP,A3,408,409,,,
296113Z,TDRC,A,210,211,,,
296113Z,TDRC,A1,508,509,,,
296113Z,TDRC,A2,108,109,,,
296113Z,TDRC,A3,208,209,,,
29611A2,EISI,A,102,103,,,
29611A2,EISI,A1,501,502,,,
29611A5,CEGE,A,503,504,,,
29611A5,CEGE,A1,301,302,,,
29611A6,DI,A,104,105,,,
29611A6,DI,A1,505,506,,,
