CODIGO,ASIGNATURA,GRUPO,HORA1,HORA2,HORA3,HORA4,HORA5
2961111,ALEM,A,102,202,503,,
2961111,ALEM,A1,105,,,,
2961111,ALEM,A2,504,,,,
2961111,ALEM,A3,204,,,,
2961111,ALEM,B,105,304,305,,
2961111,ALEM,B1,102,,,,
2961111,ALEM,B2,502,,,,
2961111,ALEM,B3,403,,,,
2961111,ALEM,C,204,205,405,,
2961111,ALEM,C1,202,,,,
2961111,ALEM,C2,104,,,,
2961111,ALEM,D,111,209,309,,
2961111,ALEM,D1,509,,,,
2961111,ALEM,D2,211,,,,
2961111,ALEM,D3,310,,,,
2961111,ALEM,E,310,311,409,,
2961111,ALEM,E1,511,,,,
2961111,ALEM,E2,110,,,,
2961111,ALEM,E3,410,,,,
2961111,ALEM,F,111,308,509,,
2961111,ALEM,F1,310,,,,
2961111,ALEM,F2,510,,,,
2961113,FFT,A,402,403,,,
2961113,FFT,A1,204,205,,,
2961113,FFT,A2,104,105,,,
2961113,FFT,A3,304,305,,,
2961113,FFT,B,504,505,,,
2961113,FFT,B1,502,503,,,
2961113,FFT,B2,102,103,,,
2961113,FFT,B3,202,203,,,
2961113,FFT,C,502,503,,,
2961113,FFT,C1,403,404,,,
2961113,FFT,C2,302,303,,,
2961113,FFT,D,510,511,,,
2961113,FFT,D1,210,211,,,
2961113,FFT,D2,310,311,,,
2961113,FFT,D3,410,411,,,
2961113,FFT,E,210,211,,,
2961113,FFT,E1,110,111,,,
2961113,FFT,E2,510,511,,,
2961113,FFT,E3,208,209,,,
2961113,FFT,F,408,409,,,
2961113,FFT,F1,108,109,,,
2961113,FFT,F2,208,209,,,
2961112,CA,A,103,404,405,,
2961112,CA,A1,104,,,,
2961112,CA,A2,505,,,,
2961112,CA,A3,205,,,,
2961112,CA,B,104,204,205,,
2961112,CA,B1,103,,,,
2961112,CA,B2,503,,,,
2961112,CA,B3,402,,,,
2961112,CA,C,304,305,402,,
2961112,CA,C1,203,,,,
2961112,CA,C2,105,,,,
2961112,CA,D,109,110,308,,
2961112,CA,D1,508,,,,
2961112,CA,D2,210,,,,
2961112,CA,D3,311,,,,
2961112,CA,E,308,309,408,,
2961112,CA,E1,510,,,,
2961112,CA,E2,111,,,,
2961112,CA,E3,411,,,,
2961112,CA,F,210,211,309,,
2961112,CA,F1,311,,,,
2961112,CA,F2,511,,,,
2961115,FP,A,203,302,,,
2961115,FP,A1,304,305,,,
2961115,FP,A2,204,205,,,
2961115,FP,A3,504,505,,,
2961115,FP,B,404,405,,,
2961115,FP,B1,402,403,,,
2961115,FP,B2,202,203,,,
2961115,FP,B3,102,103,,,
2961115,FP,C,102,103,,,
2961115,FP,C1,104,105,,,
2961115,FP,C2,202,203,,,
2961115,FP,D,108,208,,,
2961115,FP,D1,410,411,,,
2961115,FP,D2,508,509,,,
2961115,FP,D3,210,211,,,
2961115,FP,E,108,109,,,
2961115,FP,E1,208,209,,,
2961115,FP,E2,410,411,,,
2961115,FP,E3,110,111,,,
2961115,FP,F,110,508,,,
2961115,FP,F1,510,511,,,
2961115,FP,F2,108,109,,,
2961114,FS,A,303,502,,,
2961114,FS,A1,504,505,,,
2961114,FS,A2,304,305,,,
2961114,FS,A3,104,105,,,
2961114,FS,B,302,303,,,
2961114,FS,B1,202,203,,,
2961114,FS,B2,402,403,,,
2961114,FS,B3,502,503,,,
2961114,FS,C,504,505,,,
2961114,FS,C1,302,303,,,
2961114,FS,C2,403,404,,,
2961114,FS,D,408,409,,,
2961114,FS,D1,310,311,,,
2961114,FS,D2,410,411,,,
2961114,FS,D3,508,509,,,
2961114,FS,E,508,509,,,
2961114,FS,E1,410,411,,,
2961114,FS,E2,208,209,,,
2961114,FS,E3,510,511,,,
2961114,FS,F,410,411,,,
2961114,FS,F1,208,209,,,
2961114,FS,F2,310,311,,,
2961121,PDOO,A,504,505,,,
2961121,PDOO,A1,102,103,,,
2961121,PDOO,A2,202,203,,,
2961121,PDOO,A3,402,403,,,
2961121,PDOO,B,103,503,,,
2961121,PDOO,B1,504,505,,,
2961121,PDOO,B2,104,105,,,
2961121,PDOO,B3,204,205,,,
2961121,PDOO,C,103,104,,,
2961121,PDOO,C1,304,305,,,
2961121,PDOO,C2,101,102,,,
2961121,PDOO,C3,204,205,,,
2961121,PDOO,D,510,511,,,
2961121,PDOO,D1,108,109,,,
2961121,PDOO,D2,508,509,,,
2961121,PDOO,D3,208,209,,,
2961124,SCD,A,104,105,,,
2961124,SCD,A1,202,203,,,
2961124,SCD,A2,302,303,,,
2961124,SCD,A3,502,503,,,
2961124,SCD,B,402,403,,,
2961124,SCD,B1,304,305,,,
2961124,SCD,B2,404,405,,,
2961124,SCD,B3,104,105,,,
2961124,SCD,C,504,505,,,
2961124,SCD,C1,204,205,,,
2961124,SCD,C2,404,405,,,
2961124,SCD,C3,502,503,,,
2961124,SCD,D,311,312,,,
2961124,SCD,D1,308,309,,,
2961124,SCD,D2,208,209,,,
2961125,EC,A,204,205,,,
2961125,EC,A1,402,403,,,
2961125,EC,A2,502,503,,,
2961125,EC,A3,302,303,,,
2961125,EC,B,302,303,,,
2961125,EC,B1,204,205,,,
2961125,EC,B2,304,305,,,
2961125,EC,B3,504,505,,,
2961125,EC,C,402,403,,,
2961125,EC,C1,404,405,,,
2961125,EC,C2,502,503,,,
2961125,EC,C3,304,305,,,
2961125,EC,D,410,411,,,
2961125,EC,D1,208,209,,,
2961125,EC,D2,408,409,,,
2961125,EC,D3,108,109,,,
2961123,SO,A,304,305,,,
2961123,SO,A1,302,303,,,
2961123,SO,A2,102,103,,,
2961123,SO,A3,202,203,,,
2961123,SO,A4,402,403,,,
2961123,SO,B,102,502,,,
2961123,SO,B1,404,405,,,
2961123,SO,B2,504,505,,,
2961123,SO,B3,304,305,,,
2961123,SO,B4,104,105,,,
2961123,SO,C,105,302,,,
2961123,SO,C1,101,102,,,
2961123,SO,C2,204,205,,,
2961123,SO,C3,404,405,,,
2961123,SO,D,110,111,,,
2961123,SO,D1,508,509,,,
2961123,SO,D2,108,109,,,
2961123,SO,D3,308,309,,,
2961122,ED,A,301,404,405,,
2961122,ED,A1,503,,,,
2961122,ED,A2,403,,,,
2961122,ED,A3,103,,,,
2961122,ED,B,101,202,203,,
2961122,ED,B1,104,,,,
2961122,ED,B2,204,,,,
2961122,ED,B3,404,,,,
2961122,ED,C,202,203,303,,
2961122,ED,C1,503,,,,
2961122,ED,C2,304,,,,
2961122,ED,C3,102,,,,
2961122,ED,D,210,211,310,,
2961122,ED,D1,409,,,,
2961122,ED,D2,309,,,,
2961122,ED,D3,409,,,,
2961135,ISE,A,508,509,,,
2961135,ISE,A1,410,411,,,
2961135,ISE,A2,210,211,,,
